adrenal_gland	autonomic_ganglia	biliary_tract	bone	breast	central_nervous_system	cervix	endometrium	eye	genital_tract	haematopoietic_and_lymphoid_tissue	kidney	large_intestine	liver	lung	meninges	NS	oesophagus	ovary	pancreas	penis	perineum	peritoneum	pituitary	placenta	pleura	prostate	salivary_gland	skin	small_intestine	soft_tissue	stomach	testis	thymus	thyroid	upper_aerodigestive_tract	urinary_tract	vagina	vulva	gene
NA	NA	0	NA	0	0.022727272727272728	NA	NA	NA	NA	0.014705882352941176	NA	0.02857142857142857	0	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AMBRA1
NA	NA	0	NA	0	0.022727272727272728	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATG14
NA	NA	0	NA	0.08333333333333333	0.022727272727272728	NA	NA	NA	NA	NA	NA	0	0.5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP2A1
NA	NA	0	NA	0	0	NA	NA	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP2A2
NA	NA	0	NA	0.020833333333333332	0.022727272727272728	NA	NA	NA	NA	1	NA	0	1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP2A3
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BECN1
NA	NA	0	NA	0.15384615384615385	0.022727272727272728	NA	NA	NA	NA	0.07692307692307693	0	0	1	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BIRC6
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BLOC1S1
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0.5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BLOC1S2
NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.05714285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03225806451612903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CACNA1A
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CALCOCO2
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	1	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	CTTN
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	DCTN1
NA	NA	0	NA	0.0625	0	NA	NA	NA	NA	NA	NA	0	0.3333333333333333	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPG5
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GABARAP
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GABARAPL1
NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GABARAPL2
